"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho_0]"   ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,   "rms[RhoEve]"  
          0,           0,          36,      -5.291774556,      -1.185958792,      -2.216719818,       3.292323021,               -32
          0,           0,          37,      -5.295935943,      -1.192227187,      -2.220914323,       3.292288458,               -32
          0,           0,          38,      -5.299970576,      -1.198181329,      -2.224671354,       3.292257213,               -32
          0,           0,          39,      -5.303879562,      -1.203828468,      -2.228022402,       3.292228988,               -32
          0,           0,          40,      -5.307664232,      -1.209176219,      -2.230998571,        3.29220351,               -32
          0,           0,          41,       -5.31132596,      -1.214232679,      -2.233631151,       3.292180529,               -32
          0,           0,          42,       -5.31486617,      -1.219006394,       -2.23594978,       3.292159817,               -32
          0,           0,          43,      -5.318286189,      -1.223506364,      -2.237982825,       3.292141163,               -32
          0,           0,          44,      -5.321587375,      -1.227742009,       -2.23975833,       3.292124377,               -32
          0,           0,          45,      -5.324771188,      -1.231723057,      -2.241303081,       3.292109284,               -32
          0,           0,          46,      -5.327839146,      -1.235456949,      -2.242642871,       3.292095735,               -32
          0,           0,          47,       -5.33079271,      -1.238957076,      -2.243800968,       3.292083575,               -32
          0,           0,          48,      -5.333633584,      -1.242233575,      -2.244796892,        3.29207267,               -32
          0,           0,          49,      -5.336363584,      -1.245292315,      -2.245648642,       3.292062913,               -32
          0,           0,          50,      -5.338984565,      -1.248148098,      -2.246372952,       3.292054181,               -32
          0,           0,          51,      -5.341498442,      -1.250810994,      -2.246984566,       3.292046374,               -32
          0,           0,          52,      -5.343907273,      -1.253290897,      -2.247496611,       3.292039402,               -32
          0,           0,          53,      -5.346213217,      -1.255597511,      -2.247920734,       3.292033182,               -32
          0,           0,          54,      -5.348418508,      -1.257740311,      -2.248267187,        3.29202764,               -32
          0,           0,          55,      -5.350525496,      -1.259728495,      -2.248545053,       3.292022708,               -32
          0,           0,          56,      -5.352536582,      -1.261570952,      -2.248762218,       3.292018324,               -32
          0,           0,          57,      -5.354454056,      -1.263276239,      -2.248925552,       3.292014433,               -32
          0,           0,          58,      -5.356280148,      -1.264852593,      -2.249040917,       3.292010985,               -32
          0,           0,          59,      -5.358016938,      -1.266307882,      -2.249113322,       3.292007934,               -32
          0,           0,          60,      -5.359665975,      -1.267649582,      -2.249146875,        3.29200524,               -32
          0,           0,          61,      -5.361228164,      -1.268884833,      -2.249145311,       3.292002866,               -32
          0,           0,          62,      -5.362705884,      -1.270020513,      -2.249110168,       3.292000777,               -32
          0,           0,          63,      -5.364108206,      -1.271067232,      -2.249125432,       3.291998937,               -32
          0,           0,          64,      -5.365430926,      -1.272027082,      -2.249112139,       3.291997325,               -32
          0,           0,          65,      -5.366675446,      -1.272905938,      -2.249073705,       3.291995919,               -32
          0,           0,          66,       -5.36784318,      -1.273709335,      -2.249012908,       3.291994695,               -32
          0,           0,          67,      -5.368935589,      -1.274442481,      -2.248932139,       3.291993636,               -32
          0,           0,          68,      -5.369953928,      -1.275110274,      -2.248833554,       3.291992723,               -32
          0,           0,          69,      -5.370899211,      -1.275717326,       -2.24871926,        3.29199194,               -32
          0,           0,          70,      -5.371772489,      -1.276267975,      -2.248590959,       3.291991274,               -32
          0,           0,          71,      -5.372573863,      -1.276766022,      -2.248448109,       3.291990712,               -32
          0,           0,          72,      -5.373305172,       -1.27721535,      -2.248292972,       3.291990242,               -32
          0,           0,          73,      -5.373967572,       -1.27761963,      -2.248126032,       3.291989855,               -32
          0,           0,          74,      -5.374562289,      -1.277982124,      -2.247946883,       3.291989539,               -32
          0,           0,          75,      -5.375091622,      -1.278306979,      -2.247810574,       3.291989287,               -32
          0,           0,          76,      -5.375555078,      -1.278595747,      -2.247674375,        3.29198909,               -32
          0,           0,          77,       -5.37595396,      -1.278851402,      -2.247532668,       3.291988945,               -32
          0,           0,          78,      -5.376289327,      -1.279076541,      -2.247386266,       3.291988844,               -32
          0,           0,          79,      -5.376562166,      -1.279273548,      -2.247235921,       3.291988783,               -32
          0,           0,          80,      -5.376773684,      -1.279444632,      -2.247082158,       3.291988756,               -32
          0,           0,          81,       -5.37692505,      -1.279591839,      -2.246925496,        3.29198876,               -32
          0,           0,          82,      -5.377017399,      -1.279717061,      -2.246766578,        3.29198879,               -32
          0,           0,          83,      -5.377052135,      -1.279822082,      -2.246605658,       3.291988844,               -32
          0,           0,          84,      -5.377030364,      -1.279908518,      -2.246443061,       3.291988917,               -32
          0,           0,          85,      -5.376953162,       -1.27997789,      -2.246278966,       3.291989009,               -32
          0,           0,          86,      -5.376821559,      -1.280031599,       -2.24611371,       3.291989115,               -32
          0,           0,          87,      -5.376636537,      -1.280070948,      -2.245947506,       3.291989234,               -32
          0,           0,          88,       -5.37639912,       -1.28009715,      -2.245780583,       3.291989365,               -32
          0,           0,          89,      -5.376110329,      -1.280111326,      -2.245613084,       3.291989505,               -32
          0,           0,          90,      -5.375771151,      -1.280114517,      -2.245445052,       3.291989654,               -32
          0,           0,          91,      -5.375382599,       -1.28010769,      -2.245276611,       3.291989809,               -32
          0,           0,          92,      -5.374945558,      -1.280091738,       -2.24510783,       3.291989969,               -32
          0,           0,          93,      -5.374460923,      -1.280067489,      -2.244938786,       3.291990135,               -32
          0,           0,          94,       -5.37392962,      -1.280035714,      -2.244769371,       3.291990304,               -32
          0,           0,          95,        -5.3733524,      -1.279997124,      -2.244599552,       3.291990476,               -32
          0,           0,          96,      -5.372729931,      -1.279952378,      -2.244429269,       3.291990651,               -32
          0,           0,          97,      -5.372062916,      -1.279902091,      -2.244258512,       3.291990827,               -32
          0,           0,          98,      -5.371352039,       -1.27984683,      -2.244087252,       3.291991004,               -32
          0,           0,          99,      -5.370597973,      -1.279787123,      -2.243915409,       3.291991182,               -32
          0,           0,         100,      -5.369801343,      -1.279723457,      -2.243742868,       3.291991361,               -32
          0,           0,         101,      -5.368962807,      -1.279656282,      -2.243569456,       3.291991539,               -32
          0,           0,         102,      -5.368083091,      -1.279586015,       -2.24339496,       3.291991718,               -32
          0,           0,         103,      -5.367162922,      -1.279513048,      -2.243219194,       3.291991895,               -32
          0,           0,         104,      -5.366202949,      -1.279437733,       -2.24304206,       3.291992073,               -32
          0,           0,         105,      -5.365203857,      -1.279360401,      -2.242863441,       3.291992249,               -32
          0,           0,         106,      -5.364166387,      -1.279281364,        -2.2426832,       3.291992424,               -32
          0,           0,         107,      -5.363091205,      -1.279200902,      -2.242501204,       3.291992598,               -32
          0,           0,         108,      -5.361979029,      -1.279119276,      -2.242317288,       3.291992771,               -32
          0,           0,         109,      -5.360830645,      -1.279036741,       -2.24213122,       3.291992942,               -32
          0,           0,         110,      -5.359646738,      -1.278953509,      -2.241942809,       3.291993112,               -32
          0,           0,         111,       -5.35842805,      -1.278869791,      -2.241751881,        3.29199328,               -32
          0,           0,         112,       -5.35717525,      -1.278785776,      -2.241558299,       3.291993447,               -32
          0,           0,         113,      -5.355889034,      -1.278701648,      -2.241361818,       3.291993612,               -32
          0,           0,         114,      -5.354570103,      -1.278617555,       -2.24116234,       3.291993776,               -32
          0,           0,         115,      -5.353219077,       -1.27853366,      -2.240959687,       3.291993938,               -32
          0,           0,         116,      -5.351836599,      -1.278450101,      -2.240753722,       3.291994099,               -32
          0,           0,         117,      -5.350423396,      -1.278367019,      -2.240544254,       3.291994258,               -32
          0,           0,         118,      -5.348980127,      -1.278284532,      -2.240331098,       3.291994415,               -32
          0,           0,         119,      -5.347507446,      -1.278202741,      -2.240114097,       3.291994571,               -32
          0,           0,         120,      -5.346006047,      -1.278121758,      -2.239893034,       3.291994725,               -32
          0,           0,         121,      -5.344476589,      -1.278041667,      -2.239667746,       3.291994878,               -32
          0,           0,         122,      -5.342919727,      -1.277962558,      -2.239438054,        3.29199503,               -32
          0,           0,         123,       -5.34133614,      -1.277884523,      -2.239203784,        3.29199518,               -32
          0,           0,         124,      -5.339750967,      -1.277918697,      -2.239026377,       3.291994606,               -32
          0,           0,         125,      -5.338112671,      -1.277864536,      -2.238822103,       3.291994764,               -32
          0,           0,         126,      -5.336449848,      -1.277804271,      -2.238602156,       3.291994913,               -32
          0,           0,         127,      -5.334763163,      -1.277740739,      -2.238369912,       3.291995056,               -32
          0,           0,         128,      -5.333053239,      -1.277675694,      -2.238127411,       3.291995195,               -32
          0,           0,         129,      -5.331320698,      -1.277610234,      -2.237875849,       3.291995332,               -32
          0,           0,         130,      -5.329566157,      -1.277545066,      -2.237615947,       3.291995467,               -32
          0,           0,         131,       -5.32779024,      -1.277480645,      -2.237348158,       3.291995601,               -32
          0,           0,         132,      -5.325993534,      -1.277417282,      -2.237072641,       3.291995734,               -32
          0,           0,         133,       -5.32417665,      -1.277355184,      -2.236789438,       3.291995865,               -32
          0,           0,         134,      -5.322340243,      -1.277294499,      -2.236498518,       3.291995995,               -32
          0,           0,         135,      -5.320484881,      -1.277235324,      -2.236199779,       3.291996125,               -32
          0,           0,         136,      -5.318611186,      -1.277177742,      -2.235893103,       3.291996254,               -32
          0,           0,         137,      -5.316719807,      -1.277121818,      -2.235578328,       3.291996382,               -32
          0,           0,         138,      -5.314811371,      -1.277067605,      -2.235255266,       3.291996509,               -32
          0,           0,         139,      -5.312886474,      -1.277015131,      -2.234923754,       3.291996636,               -32
          0,           0,         140,      -5.310945708,      -1.276964428,      -2.234583555,       3.291996761,               -32
          0,           0,         141,      -5.308989698,      -1.276915527,      -2.234234455,       3.291996886,               -32
          0,           0,         142,      -5.307019033,       -1.27686845,      -2.233876203,       3.291997011,               -32
          0,           0,         143,      -5.305034363,      -1.276823221,       -2.23350856,       3.291997134,               -32
          0,           0,         144,      -5.303044532,      -1.276895386,      -2.233184496,       3.291996812,               -32
          0,           0,         145,      -5.301020073,      -1.276899757,      -2.232766478,       3.291996918,               -32
          0,           0,         146,      -5.298981709,      -1.276893715,      -2.232303751,       3.291997005,               -32
          0,           0,         147,      -5.296930491,      -1.276881073,      -2.231811766,       3.291997096,               -32
          0,           0,         148,      -5.294868257,      -1.276862788,      -2.231300366,       3.291997198,               -32
          0,           0,         149,      -5.292794841,      -1.276842872,      -2.230773101,       3.291997316,               -32
          0,           0,         150,      -5.290710942,      -1.276822023,      -2.230230128,       3.291997447,               -32
          0,           0,         151,      -5.288619166,      -1.276808167,      -2.229748832,       3.291997531,               -32
          0,           0,         152,       -5.28651813,      -1.276794083,      -2.229242392,       3.291997626,               -32
          0,           0,         153,      -5.284408627,      -1.276780262,      -2.228714444,       3.291997734,               -32
          0,           0,         154,      -5.282291445,      -1.276767037,      -2.228166896,       3.291997855,               -32
          0,           0,         155,      -5.280167333,      -1.276754648,      -2.227600895,       3.291997988,               -32
          0,           0,         156,       -5.27803706,      -1.276743279,      -2.227017205,       3.291998131,               -32
          0,           0,         157,       -5.27590141,      -1.276733072,      -2.226416392,       3.291998282,               -32
          0,           0,         158,      -5.273761154,      -1.276724146,      -2.225798799,       3.291998441,               -32
          0,           0,         159,      -5.271617006,      -1.276716587,      -2.225164258,       3.291998606,               -32
          0,           0,         160,      -5.269469754,      -1.276710479,      -2.224513193,       3.291998777,               -32
          0,           0,         161,      -5.267320166,      -1.276705895,      -2.223845684,       3.291998952,               -32
          0,           0,         162,      -5.265169013,      -1.276702906,      -2.223161806,       3.291999131,               -32
          0,           0,         163,       -5.26301709,      -1.276701571,       -2.22246162,       3.291999313,               -32
          0,           0,         164,      -5.260865181,      -1.276701947,      -2.221745036,       3.291999499,               -32
          0,           0,         165,      -5.258714085,      -1.276704085,      -2.221011964,       3.291999687,               -32
          0,           0,         166,      -5.256564602,      -1.276708033,      -2.220262271,       3.291999877,               -32
          0,           0,         167,      -5.254417531,      -1.276713825,      -2.219495837,       3.292000069,               -32
          0,           0,         168,      -5.252273694,      -1.276721498,      -2.218712505,       3.292000262,               -32
          0,           0,         169,      -5.250111167,      -1.276722413,      -2.217917729,       3.292000503,               -32
          0,           0,         170,      -5.247976355,      -1.276733887,      -2.217099807,       3.292000692,               -32
          0,           0,         171,      -5.245847305,      -1.276747414,      -2.216263647,       3.292000883,               -32
          0,           0,         172,      -5.243724884,      -1.276762995,      -2.215409719,       3.292001076,               -32
          0,           0,         173,      -5.241609958,      -1.276780612,      -2.214537958,       3.292001269,               -32
          0,           0,         174,       -5.23950341,      -1.276800254,      -2.213648205,       3.292001464,               -32
          0,           0,         175,      -5.237406126,      -1.276821925,      -2.212740177,       3.292001659,               -32
          0,           0,         176,      -5.235318996,       -1.27684563,      -2.211813573,       3.292001853,               -32
          0,           0,         177,      -5.233219025,      -1.276861739,      -2.210872743,       3.292002099,               -32
          0,           0,         178,       -5.23115507,      -1.276889497,      -2.209908637,       3.292002286,               -32
          0,           0,         179,      -5.229104059,       -1.27691935,      -2.208924241,       3.292002473,               -32
          0,           0,         180,      -5.227066966,      -1.276951297,      -2.207920183,       3.292002661,               -32
          0,           0,         181,      -5.225044764,      -1.276985286,      -2.206896434,        3.29200285,               -32
          0,           0,         182,      -5.223038438,      -1.277021274,      -2.205852874,       3.292003037,               -32
          0,           0,         183,      -5.221048976,      -1.277059235,       -2.20478923,       3.292003224,               -32
          0,           0,         184,      -5.219052653,      -1.277088647,      -2.203708955,       3.292003465,               -32
          0,           0,         185,      -5.217100068,      -1.277130532,      -2.202605395,       3.292003641,               -32
          0,           0,         186,      -5.215167402,      -1.277174335,      -2.201479847,       3.292003817,               -32
          0,           0,         187,      -5.213255714,      -1.277220074,      -2.200333309,       3.292003993,               -32
          0,           0,         188,       -5.21136606,      -1.277267666,      -2.199165955,       3.292004169,               -32
          0,           0,         189,      -5.209499516,      -1.277317044,      -2.197977773,       3.292004343,               -32
          0,           0,         190,      -5.207631877,      -1.277356892,      -2.196771539,       3.292004575,               -32
          0,           0,         191,      -5.205815069,       -1.27740982,       -2.19554292,       3.292004736,               -32
          0,           0,         192,      -5.204024736,      -1.277464368,       -2.19429146,       3.292004897,               -32
          0,           0,         193,      -5.202262054,      -1.277520585,      -2.193018819,       3.292005058,               -32
          0,           0,         194,      -5.200528201,      -1.277578368,      -2.191725229,       3.292005217,               -32
          0,           0,         195,      -5.198824346,      -1.277637629,      -2.190410873,       3.292005374,               -32
          0,           0,         196,      -5.197125904,      -1.277686262,      -2.189078016,       3.292005593,               -32
          0,           0,         197,      -5.195485906,      -1.277748492,      -2.187724496,       3.292005736,               -32
          0,           0,         198,      -5.193879582,      -1.277811909,      -2.186348367,       3.292005877,               -32
          0,           0,         199,      -5.192308222,      -1.277876613,      -2.184951987,       3.292006018,               -32
          0,           0,         200,      -5.190773123,       -1.27794247,       -2.18353583,       3.292006157,               -32
          0,           0,         201,      -5.189249373,      -1.277996679,      -2.182101808,        3.29200636,               -32
          0,           0,         202,      -5.187790935,      -1.278064869,      -2.180649765,       3.292006483,               -32
          0,           0,         203,      -5.186372696,      -1.278133788,      -2.179176408,       3.292006605,               -32
          0,           0,         204,      -5.184996033,      -1.278203603,      -2.177685024,       3.292006725,               -32
          0,           0,         205,      -5.183662326,      -1.278274147,       -2.17617622,       3.292006843,               -32
          0,           0,         206,      -5.182346343,      -1.278331966,      -2.174651429,       3.292007029,               -32
          0,           0,         207,      -5.181102947,      -1.278404095,      -2.173112232,       3.292007129,               -32
          0,           0,         208,      -5.179906684,      -1.278476434,      -2.171554216,       3.292007228,               -32
          0,           0,         209,      -5.178759006,      -1.278549241,      -2.169981307,       3.292007325,               -32
          0,           0,         210,      -5.177661385,       -1.27862232,      -2.168394308,        3.29200742,               -32
          0,           0,         211,      -5.176588256,      -1.278681572,      -2.166794729,       3.292007585,               -32
          0,           0,         212,      -5.175595391,      -1.278755438,       -2.16518571,        3.29200766,               -32
          0,           0,         213,      -5.174656932,       -1.27882896,      -2.163561736,       3.292007733,               -32
          0,           0,         214,      -5.173774382,      -1.278902516,      -2.161927607,       3.292007805,               -32
          0,           0,         215,      -5.172921798,      -1.278961322,      -2.160284407,        3.29200795,               -32
          0,           0,         216,      -5.172155843,      -1.279035061,      -2.158636779,       3.292008002,               -32
          0,           0,         217,      -5.171450209,         -1.279108,      -2.156978424,       3.292008052,               -32
          0,           0,         218,      -5.170806353,      -1.279180634,       -2.15531496,         3.2920081,               -32
          0,           0,         219,      -5.170197762,      -1.279237592,      -2.153647294,       3.292008225,               -32
          0,           0,         220,      -5.169682015,      -1.279309816,       -2.15198117,       3.292008253,               -32
          0,           0,         221,      -5.169232182,       -1.27938082,      -2.150309523,       3.292008279,               -32
          0,           0,         222,      -5.168849646,       -1.27945111,      -2.148638454,       3.292008303,               -32
          0,           0,         223,      -5.168507224,       -1.27950497,       -2.14696959,       3.292008406,               -32
          0,           0,         224,      -5.168263521,       -1.27957447,      -2.145309026,       3.292008409,               -32
          0,           0,         225,      -5.168090876,      -1.279642388,      -2.143649139,       3.292008408,               -32
          0,           0,         226,      -5.167961372,      -1.279693332,      -2.141996811,       3.292008492,               -32
          0,           0,         227,      -5.167934711,      -1.279760332,      -2.140358261,       3.292008472,               -32
          0,           0,         228,      -5.167982467,      -1.279825525,      -2.138725715,        3.29200845,               -32
          0,           0,         229,      -5.168075872,      -1.279873132,      -2.137106449,       3.292008515,               -32
          0,           0,         230,      -5.168275716,      -1.279937254,      -2.135507016,       3.292008475,               -32
          0,           0,         231,      -5.168552618,      -1.279999371,      -2.133919308,       3.292008431,               -32
          0,           0,         232,      -5.168876823,      -1.280043346,      -2.132351229,       3.292008477,               -32
          0,           0,         233,      -5.169310189,      -1.280104354,      -2.130809404,       3.292008416,               -32
          0,           0,         234,      -5.169822292,      -1.280163198,      -2.129285913,        3.29200835,               -32
          0,           0,         235,      -5.170382156,      -1.280203397,      -2.127789032,       3.292008378,               -32
          0,           0,         236,      -5.171052875,      -1.280261215,      -2.126324788,       3.292008296,               -32
          0,           0,         237,      -5.171802758,      -1.280316791,      -2.124884765,        3.29200821,               -32
          0,           0,         238,      -5.172599473,      -1.280353297,      -2.123477903,        3.29200822,               -32
          0,           0,         239,      -5.173507449,      -1.280408062,      -2.122110603,       3.292008117,               -32
          0,           0,         240,      -5.174493514,      -1.280460522,      -2.120774108,        3.29200801,               -32
          0,           0,         241,      -5.175523747,      -1.280493489,      -2.119478398,       3.292008004,               -32
          0,           0,         242,      -5.176664009,      -1.280545391,      -2.118229288,       3.292007882,               -32
          0,           0,         243,      -5.177879352,      -1.280594953,       -2.11701716,       3.292007756,               -32
          0,           0,         244,      -5.179134035,      -1.280624645,      -2.115852348,       3.292007734,               -32
          0,           0,         245,      -5.180495459,      -1.280673997,      -2.114740585,       3.292007595,               -32
          0,           0,         246,       -5.18192679,      -1.280720952,      -2.113672839,       3.292007453,               -32
          0,           0,         247,      -5.183390001,      -1.280747665,      -2.112658472,       3.292007419,               -32
          0,           0,         248,      -5.184954322,      -1.280794815,      -2.111702611,       3.292007266,               -32
          0,           0,         249,      -5.186580699,      -1.280839555,      -2.110796044,       3.292007111,               -32
          0,           0,         250,      -5.188229005,      -1.280863638,      -2.109950283,       3.292007068,               -32
          0,           0,         251,      -5.189970366,      -1.280908928,      -2.109168423,       3.292006905,               -32
          0,           0,         252,      -5.191763387,      -1.280951734,      -2.108441165,        3.29200674,               -32
          0,           0,         253,      -5.193565066,      -1.280973501,      -2.107779154,       3.292006694,               -32
          0,           0,         254,      -5.195449432,       -1.28101726,      -2.107185859,       3.292006526,               -32
          0,           0,         255,      -5.197372234,      -1.281058489,       -2.10665118,       3.292006358,               -32
          0,           0,         256,      -5.199288239,      -1.281078252,      -2.106186302,       3.292006315,               -32
          0,           0,         257,      -5.201273585,      -1.281120805,       -2.10579374,       3.292006149,               -32
          0,           0,         258,      -5.203239873,      -1.281138758,      -2.105462577,       3.292006095,               -32
          0,           0,         259,      -5.205265422,      -1.281181762,      -2.105211536,       3.292005935,               -32
          0,           0,         260,      -5.207302153,      -1.281220903,      -2.105018776,       3.292005768,               -32
          0,           0,         261,       -5.20930028,      -1.281238442,      -2.104903346,       3.292005748,               -32
          0,           0,         262,      -5.211341697,       -1.28127966,       -2.10486051,       3.292005595,               -32
          0,           0,         263,       -5.21337549,      -1.281318528,      -2.104883014,       3.292005453,               -32
          0,           0,         264,      -5.215349761,      -1.281334227,      -2.104978921,       3.292005453,               -32
          0,           0,         265,      -5.217350169,      -1.281375382,       -2.10514994,       3.292005327,               -32
          0,           0,         266,      -5.219276455,      -1.281389628,      -2.105381833,       3.292005327,               -32
          0,           0,         267,      -5.221217485,      -1.281432293,      -2.105695151,       3.292005227,               -32
          0,           0,         268,      -5.223119464,      -1.281469881,      -2.106060359,       3.292005115,               -32
          0,           0,         269,       -5.22492709,      -1.281485576,      -2.106503358,       3.292005184,               -32
          0,           0,         270,      -5.226734724,      -1.281526653,      -2.107009193,         3.2920051,               -32
          0,           0,         271,      -5.228485977,      -1.281566184,      -2.107574953,       3.292005048,               -32
          0,           0,         272,      -5.230125254,       -1.28158045,      -2.108203191,       3.292005147,               -32
          0,           0,         273,      -5.231751891,      -1.281624038,      -2.108898012,       3.292005124,               -32
          0,           0,         274,      -5.233256085,      -1.281637747,      -2.109636749,       3.292005231,               -32
          0,           0,         275,      -5.234741391,      -1.281684943,      -2.110447333,       3.292005254,               -32
          0,           0,         276,      -5.236151288,      -1.281724796,      -2.111284674,       3.292005242,               -32
          0,           0,         277,      -5.237427897,       -1.28174453,      -2.112191817,       3.292005467,               -32
          0,           0,         278,      -5.238682385,       -1.28178994,      -2.113131176,       3.292005488,               -32
          0,           0,         279,      -5.239798682,      -1.281810385,      -2.114119948,       3.292005729,               -32
          0,           0,         280,      -5.240890261,      -1.281860948,      -2.115144847,       3.292005802,               -32
          0,           0,         281,      -5.241752939,      -1.281910265,      -2.116211313,       3.292005919,               -32
          0,           0,         282,      -5.242091473,      -1.281932809,      -2.117323342,       3.292006211,               -32
          0,           0,         283,      -5.242023487,      -1.281990604,      -2.118489232,       3.292006367,               -32
          0,           0,         284,      -5.241546026,      -1.282043713,      -2.119665778,       3.292006526,               -32
          0,           0,         285,      -5.240595942,      -1.282074547,      -2.120881182,       3.292006923,               -32
          0,           0,         286,      -5.239447687,      -1.282136506,       -2.12210494,       3.292007107,               -32
          0,           0,         287,      -5.238000033,      -1.282171107,       -2.12334417,       3.292007534,               -32
          0,           0,         288,      -5.236403228,      -1.282241399,      -2.124588086,        3.29200778,               -32
          0,           0,         289,      -5.234692271,      -1.282309784,       -2.12582089,       3.292008074,               -32
          0,           0,         290,       -5.23274334,      -1.282351389,      -2.127056018,       3.292008576,               -32
          0,           0,         291,      -5.230779271,      -1.282432212,       -2.12828931,       3.292008902,               -32
          0,           0,         292,      -5.228769544,      -1.282509319,      -2.129490649,       3.292009262,               -32
          0,           0,         293,       -5.22668008,      -1.282562168,       -2.13069164,       3.292009866,               -32
          0,           0,         294,      -5.224571586,      -1.282651958,      -2.131864507,       3.292010228,               -32
          0,           0,         295,       -5.22253101,      -1.282745144,      -2.133004879,       3.292010713,               -32
          0,           0,         296,      -5.220517575,      -1.282800629,      -2.134092178,       3.292011318,               -32
          0,           0,         297,      -5.218656128,      -1.282917171,      -2.135202598,        3.29201188,               -32
          0,           0,         298,       -5.21685419,       -1.28296159,      -2.136140384,       3.292012392,               -32
          0,           0,         299,      -5.215012567,       -1.28311846,       -2.13728573,       3.292013381,               -32
          0,           0,         300,      -5.213288603,      -1.283112971,      -2.137877979,       3.292013318,               -32
          0,           0,         301,      -5.211316349,      -1.283367692,      -2.139163103,       3.292016146,               -32
          0,           0,         302,      -5.209990612,      -1.282963272,      -2.137419778,       3.292019646,               -32
          0,           0,         303,      -5.208756761,      -1.283053593,      -2.138833487,       3.292021552,               -32
          0,           0,         304,      -5.204499689,      -1.283317925,      -2.135812819,       3.292028572,               -32
          0,           0,         305,      -5.203827272,      -1.282814775,      -2.139681183,       3.292056602,               -32
          0,           0,         306,      -5.202036854,      -1.283214029,      -2.132341412,       3.292060874,               -32
          0,           0,         307,      -5.200190538,      -1.282451479,       -2.13920061,       3.292019923,               -32
          0,           0,         308,      -5.204348266,      -1.282604206,      -2.135370463,       3.292061365,               -32
          0,           0,         309,      -5.203822378,      -1.282802493,      -2.136677842,       3.292062453,               -32
          0,           0,         310,      -5.188842273,      -1.283046843,      -2.142511523,       3.292063204,               -32
          0,           0,         311,      -5.187439439,      -1.283521059,      -2.138503962,       3.292018911,               -32
          0,           0,         312,      -5.203745345,      -1.281213564,      -2.113277881,       3.292340396,               -32
